,order_timestamp_hour,hour,day,month,S_count,M_count,L_count,XL_count,XXL_count,Classic,Chicken,Supreme,Veggie,total_quantity,total_sales
0,2015-01-01 11:00:00,11,1,1,0,3,3,0,0,2,1,1,2,6,105.25
1,2015-01-01 12:00:00,12,1,1,9,3,5,0,0,3,1,9,4,17,263.25
2,2015-01-01 13:00:00,13,1,1,7,7,19,0,0,7,9,6,11,33,577.2000007629395
3,2015-01-01 14:00:00,14,1,1,4,5,6,0,0,6,4,2,3,15,246.0
4,2015-01-01 15:00:00,15,1,1,5,3,6,0,0,4,4,1,5,14,230.25
5,2015-01-01 16:00:00,16,1,1,1,4,4,0,0,4,2,1,2,9,152.5
6,2015-01-01 17:00:00,17,1,1,6,5,7,0,0,4,3,4,7,18,288.1500015258789
7,2015-01-01 18:00:00,18,1,1,3,3,11,1,0,5,5,5,3,18,330.0
8,2015-01-01 19:00:00,19,1,1,3,5,5,0,0,5,2,3,3,13,209.5
9,2015-01-01 20:00:00,20,1,1,1,5,2,0,0,2,3,2,1,8,132.75
10,2015-01-01 21:00:00,21,1,1,3,3,0,0,0,3,0,3,0,6,84.25
11,2015-01-01 22:00:00,22,1,1,0,2,3,0,0,1,2,2,0,5,94.75
12,2015-01-02 11:00:00,11,2,1,2,0,3,0,0,0,2,1,2,5,87.25
13,2015-01-02 12:00:00,12,2,1,10,6,16,0,0,11,7,7,7,32,536.2000007629395
14,2015-01-02 13:00:00,13,2,1,1,2,3,0,0,5,0,1,0,6,96.5
15,2015-01-02 14:00:00,14,2,1,1,2,4,0,0,1,1,3,2,7,125.25
16,2015-01-02 15:00:00,15,2,1,6,7,4,0,0,4,5,6,2,17,265.5
17,2015-01-02 16:00:00,16,2,1,4,1,1,0,0,4,1,1,0,6,85.5
18,2015-01-02 17:00:00,17,2,1,2,1,7,0,0,4,2,4,0,10,176.75
19,2015-01-02 18:00:00,18,2,1,7,9,20,0,0,12,6,11,7,36,616.5
20,2015-01-02 19:00:00,19,2,1,4,5,8,0,0,4,3,5,5,17,286.95000076293945
21,2015-01-02 20:00:00,20,2,1,3,1,3,1,0,4,1,2,1,8,136.0
22,2015-01-02 21:00:00,21,2,1,7,2,3,0,0,5,2,2,3,12,173.75
23,2015-01-02 22:00:00,22,2,1,4,0,5,0,0,3,2,2,2,9,145.75
24,2015-01-03 11:00:00,11,3,1,1,3,4,0,0,1,1,2,4,8,136.95000076293945
25,2015-01-03 12:00:00,12,3,1,1,1,0,0,0,0,0,1,1,2,28.5
26,2015-01-03 13:00:00,13,3,1,7,9,9,0,0,7,10,2,6,25,404.20000076293945
27,2015-01-03 14:00:00,14,3,1,1,4,1,1,0,3,1,0,3,7,114.75
28,2015-01-03 15:00:00,15,3,1,5,9,8,0,0,5,6,5,6,22,364.95000076293945
29,2015-01-03 16:00:00,16,3,1,3,6,2,1,0,8,1,3,0,12,187.25
30,2015-01-03 17:00:00,17,3,1,5,11,9,0,0,10,7,5,3,25,414.95000076293945
31,2015-01-03 18:00:00,18,3,1,3,2,8,0,0,4,0,5,4,13,237.14999961853027
32,2015-01-03 19:00:00,19,3,1,1,1,6,0,0,0,2,1,5,8,150.5
33,2015-01-03 20:00:00,20,3,1,7,3,8,0,0,5,8,3,2,18,293.75
34,2015-01-03 21:00:00,21,3,1,3,2,6,0,0,2,3,3,3,11,191.20000076293945
35,2015-01-03 22:00:00,22,3,1,1,2,2,2,0,2,3,2,0,7,138.25
36,2015-01-04 11:00:00,11,4,1,4,3,4,0,0,4,3,3,1,11,176.25
37,2015-01-04 12:00:00,12,4,1,3,3,3,0,0,3,4,1,1,9,142.0
38,2015-01-04 13:00:00,13,4,1,2,2,3,0,0,2,0,1,4,7,115.95000076293945
39,2015-01-04 14:00:00,14,4,1,1,5,4,0,0,2,2,2,4,10,168.0
40,2015-01-04 15:00:00,15,4,1,4,1,4,0,0,4,0,3,2,9,140.95000076293945
41,2015-01-04 16:00:00,16,4,1,3,3,3,0,0,3,5,1,0,9,147.75
42,2015-01-04 17:00:00,17,4,1,2,3,2,0,0,1,2,1,3,7,116.5
43,2015-01-04 18:00:00,18,4,1,4,4,2,0,0,2,4,3,1,10,156.75
44,2015-01-04 19:00:00,19,4,1,1,2,3,0,0,1,1,1,3,6,106.75
45,2015-01-04 20:00:00,20,4,1,4,7,8,0,0,4,5,8,2,19,317.75
46,2015-01-04 21:00:00,21,4,1,1,2,1,0,0,0,1,1,2,4,63.75
47,2015-01-04 22:00:00,22,4,1,2,1,2,0,0,0,1,3,1,5,103.04999923706055
48,2015-01-05 11:00:00,11,5,1,0,3,5,0,0,3,2,0,3,8,142.0
49,2015-01-05 12:00:00,12,5,1,1,1,4,0,0,2,1,1,2,6,115.39999961853027
50,2015-01-05 13:00:00,13,5,1,2,5,5,0,0,2,2,4,4,12,203.95000076293945
51,2015-01-05 14:00:00,14,5,1,5,10,9,0,0,5,10,6,3,24,405.45000076293945
52,2015-01-05 15:00:00,15,5,1,0,2,3,0,0,0,1,1,3,5,91.5
53,2015-01-05 16:00:00,16,5,1,3,7,4,0,0,4,2,4,4,14,228.25
54,2015-01-05 17:00:00,17,5,1,5,9,6,0,0,4,3,7,6,20,335.1499996185303
55,2015-01-05 18:00:00,18,5,1,2,3,2,0,0,1,4,1,1,7,115.75
56,2015-01-05 19:00:00,19,5,1,7,4,2,0,0,5,4,2,2,13,193.5
57,2015-01-05 20:00:00,20,5,1,6,3,2,0,0,8,0,2,1,11,151.0
58,2015-01-05 21:00:00,21,5,1,1,1,3,0,0,3,2,0,0,5,84.0
59,2015-01-06 11:00:00,11,6,1,2,1,2,0,0,1,1,2,1,5,78.5
60,2015-01-06 12:00:00,12,6,1,8,12,8,0,0,9,4,9,6,28,455.6000003814697
61,2015-01-06 13:00:00,13,6,1,6,9,15,0,0,10,5,8,7,30,511.6500015258789
62,2015-01-06 14:00:00,14,6,1,0,5,5,0,0,1,5,3,1,10,181.75
63,2015-01-06 15:00:00,15,6,1,2,3,7,1,0,4,3,3,3,13,228.0
64,2015-01-06 16:00:00,16,6,1,6,3,4,0,0,5,3,1,4,13,202.0
65,2015-01-06 17:00:00,17,6,1,4,3,5,0,0,8,2,2,0,12,185.0
66,2015-01-06 18:00:00,18,6,1,5,5,4,0,0,1,6,2,5,14,224.25
67,2015-01-06 19:00:00,19,6,1,3,4,4,1,0,5,1,1,5,12,203.0
68,2015-01-06 20:00:00,20,6,1,0,3,3,0,0,2,1,0,3,6,106.25
69,2015-01-06 21:00:00,21,6,1,1,1,1,0,0,2,0,0,1,3,40.95000076293945
70,2015-01-06 22:00:00,22,6,1,1,0,0,0,0,0,0,0,1,1,12.0
71,2015-01-07 11:00:00,11,7,1,3,3,1,0,0,2,2,2,1,7,106.25
72,2015-01-07 12:00:00,12,7,1,5,10,4,1,0,5,6,3,6,20,329.0
73,2015-01-07 13:00:00,13,7,1,11,4,10,0,0,8,5,6,6,25,389.75
74,2015-01-07 14:00:00,14,7,1,8,5,8,0,0,12,2,2,5,21,306.5
75,2015-01-07 15:00:00,15,7,1,0,3,1,0,0,1,2,0,1,4,68.25
