,order_timestamp_hour,day,month,hour,S_count,M_count,L_count,XL_count,XXL_count,Classic,Chicken,Supreme,Veggie,total_quantity,total_sales,lag_total_sales_1,lag_total_sales_3,lag_total_sales_5
0,2015-01-01 11:00:00,1,1,11,0,3,3,0,0,2,1,1,2,6,105.25,0.0,0.0,0.0
1,2015-01-01 12:00:00,1,1,12,9,3,5,0,0,3,1,9,4,17,263.25,105.25,0.0,0.0
2,2015-01-01 13:00:00,1,1,13,7,7,19,0,0,7,9,6,11,33,577.2000007629395,263.25,0.0,0.0
3,2015-01-01 14:00:00,1,1,14,4,5,6,0,0,6,4,2,3,15,246.0,577.2000007629395,105.25,0.0
4,2015-01-01 15:00:00,1,1,15,5,3,6,0,0,4,4,1,5,14,230.25,246.0,263.25,0.0
5,2015-01-01 16:00:00,1,1,16,1,4,4,0,0,4,2,1,2,9,152.5,230.25,577.2000007629395,105.25
6,2015-01-01 17:00:00,1,1,17,6,5,7,0,0,4,3,4,7,18,288.1500015258789,152.5,246.0,263.25
7,2015-01-01 18:00:00,1,1,18,3,3,11,1,0,5,5,5,3,18,330.0,288.1500015258789,230.25,577.2000007629395
8,2015-01-01 19:00:00,1,1,19,3,5,5,0,0,5,2,3,3,13,209.5,330.0,152.5,246.0
9,2015-01-01 20:00:00,1,1,20,1,5,2,0,0,2,3,2,1,8,132.75,209.5,288.1500015258789,230.25
10,2015-01-01 21:00:00,1,1,21,3,3,0,0,0,3,0,3,0,6,84.25,132.75,330.0,152.5
11,2015-01-01 22:00:00,1,1,22,0,2,3,0,0,1,2,2,0,5,94.75,84.25,209.5,288.1500015258789
12,2015-01-02 11:00:00,2,1,11,2,0,3,0,0,0,2,1,2,5,87.25,94.75,132.75,330.0
13,2015-01-02 12:00:00,2,1,12,10,6,16,0,0,11,7,7,7,32,536.2000007629395,87.25,84.25,209.5
14,2015-01-02 13:00:00,2,1,13,1,2,3,0,0,5,0,1,0,6,96.5,536.2000007629395,94.75,132.75
15,2015-01-02 14:00:00,2,1,14,1,2,4,0,0,1,1,3,2,7,125.25,96.5,87.25,84.25
16,2015-01-02 15:00:00,2,1,15,6,7,4,0,0,4,5,6,2,17,265.5,125.25,536.2000007629395,94.75
17,2015-01-02 16:00:00,2,1,16,4,1,1,0,0,4,1,1,0,6,85.5,265.5,96.5,87.25
18,2015-01-02 17:00:00,2,1,17,2,1,7,0,0,4,2,4,0,10,176.75,85.5,125.25,536.2000007629395
19,2015-01-02 18:00:00,2,1,18,7,9,20,0,0,12,6,11,7,36,616.5,176.75,265.5,96.5
20,2015-01-02 19:00:00,2,1,19,4,5,8,0,0,4,3,5,5,17,286.95000076293945,616.5,85.5,125.25
21,2015-01-02 20:00:00,2,1,20,3,1,3,1,0,4,1,2,1,8,136.0,286.95000076293945,176.75,265.5
22,2015-01-02 21:00:00,2,1,21,7,2,3,0,0,5,2,2,3,12,173.75,136.0,616.5,85.5
23,2015-01-02 22:00:00,2,1,22,4,0,5,0,0,3,2,2,2,9,145.75,173.75,286.95000076293945,176.75
24,2015-01-03 11:00:00,3,1,11,1,3,4,0,0,1,1,2,4,8,136.95000076293945,145.75,136.0,616.5
25,2015-01-03 12:00:00,3,1,12,1,1,0,0,0,0,0,1,1,2,28.5,136.95000076293945,173.75,286.95000076293945
26,2015-01-03 13:00:00,3,1,13,7,9,9,0,0,7,10,2,6,25,404.20000076293945,28.5,145.75,136.0
27,2015-01-03 14:00:00,3,1,14,1,4,1,1,0,3,1,0,3,7,114.75,404.20000076293945,136.95000076293945,173.75
28,2015-01-03 15:00:00,3,1,15,5,9,8,0,0,5,6,5,6,22,364.95000076293945,114.75,28.5,145.75
29,2015-01-03 16:00:00,3,1,16,3,6,2,1,0,8,1,3,0,12,187.25,364.95000076293945,404.20000076293945,136.95000076293945
30,2015-01-03 17:00:00,3,1,17,5,11,9,0,0,10,7,5,3,25,414.95000076293945,187.25,114.75,28.5
31,2015-01-03 18:00:00,3,1,18,3,2,8,0,0,4,0,5,4,13,237.14999961853027,414.95000076293945,364.95000076293945,404.20000076293945
32,2015-01-03 19:00:00,3,1,19,1,1,6,0,0,0,2,1,5,8,150.5,237.14999961853027,187.25,114.75
33,2015-01-03 20:00:00,3,1,20,7,3,8,0,0,5,8,3,2,18,293.75,150.5,414.95000076293945,364.95000076293945
34,2015-01-03 21:00:00,3,1,21,3,2,6,0,0,2,3,3,3,11,191.20000076293945,293.75,237.14999961853027,187.25
35,2015-01-03 22:00:00,3,1,22,1,2,2,2,0,2,3,2,0,7,138.25,191.20000076293945,150.5,414.95000076293945
36,2015-01-04 11:00:00,4,1,11,4,3,4,0,0,4,3,3,1,11,176.25,138.25,293.75,237.14999961853027
37,2015-01-04 12:00:00,4,1,12,3,3,3,0,0,3,4,1,1,9,142.0,176.25,191.20000076293945,150.5
38,2015-01-04 13:00:00,4,1,13,2,2,3,0,0,2,0,1,4,7,115.95000076293945,142.0,138.25,293.75
39,2015-01-04 14:00:00,4,1,14,1,5,4,0,0,2,2,2,4,10,168.0,115.95000076293945,176.25,191.20000076293945
40,2015-01-04 15:00:00,4,1,15,4,1,4,0,0,4,0,3,2,9,140.95000076293945,168.0,142.0,138.25
41,2015-01-04 16:00:00,4,1,16,3,3,3,0,0,3,5,1,0,9,147.75,140.95000076293945,115.95000076293945,176.25
42,2015-01-04 17:00:00,4,1,17,2,3,2,0,0,1,2,1,3,7,116.5,147.75,168.0,142.0
43,2015-01-04 18:00:00,4,1,18,4,4,2,0,0,2,4,3,1,10,156.75,116.5,140.95000076293945,115.95000076293945
44,2015-01-04 19:00:00,4,1,19,1,2,3,0,0,1,1,1,3,6,106.75,156.75,147.75,168.0
45,2015-01-04 20:00:00,4,1,20,4,7,8,0,0,4,5,8,2,19,317.75,106.75,116.5,140.95000076293945
46,2015-01-04 21:00:00,4,1,21,1,2,1,0,0,0,1,1,2,4,63.75,317.75,156.75,147.75
